price_cr,area_sqm,bhk,bathroom,balcony,addl_room,sector,landmark_count,has_hospital_or_clinic,has_police_stn,has_fire_stn,has_mall,has_market,has_park,has_bank_or_atm,has_institute,has_airport,has_rly_stn,has_metro_stn,has_expy,has_petrol_pump,has_hotel,has_temple_or_church,has_famous_chowk,has_club,has_stadium,has_restro_cafe,area_type,floor_rise,age,society,city
0.28,83.61,2,1,1,1,110,30,5,0,0,0,1,0,1,3,0,4,1,0,0,0,1,0,0,0,0,carpet,low,new,my home,gurgaon
1.1,103.87,2,2,2,0,37,10,1,0,0,1,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,carpet,mid,under construction,signature global city,gurgaon
2.0,133.13,2,2,2,0,65,11,1,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,built up,high,under construction,m3m heights,gurgaon
0.9,104.05,3,2,2,0,33,8,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,super built up,low,mid aged,signature global park,sohna
0.9,104.05,3,2,0,0,33,8,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,built up,low,mid aged,signature global park,sohna
1.75,185.43,3,3,0,0,33,8,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,built up,low,under construction,godrej nature plus,sohna
1.8,253.35,4,4,3,0,90,6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,super built up,high,old,dlf new town heights 1,gurgaon
2.1,166.2,3,3,2,0,33,15,0,0,0,0,0,2,2,3,0,0,0,0,1,1,0,0,0,0,1,super built up,mid,under construction,central park flower valley aqua front towers,sohna
2.0,128.21,2,2,2,0,22,14,1,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,carpet,high,new,ambience creacions,gurgaon
2.0,143.07,3,3,2,0,63,13,1,0,0,0,0,3,0,2,1,0,1,0,0,1,0,1,1,0,0,built up,low,mid aged,signature global city 63a,gurgaon
1.29,151.34,3,3,3,1,88,7,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,super built up,mid,new,godrej oasis,gurgaon
2.85,169.83,3,3,3,0,65,9,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,super built up,high,mid aged,m3m skycity,gurgaon
1.1,181.16,3,3,3,0,79,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,carpet,low,new,supertech araville,gurgaon
1.65,111.48,2,2,2,1,61,9,1,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,carpet,low,mid aged,smart world orchard,gurgaon
0.24,30.1,1,1,2,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,carpet,low,new,hcbs sports ville,sohna
2.1,185.81,3,4,3,1,77,6,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,super built up,high,new,emaar palm premier,gurgaon
1.9,179.21,3,3,3,1,33,8,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,carpet,high,new,godrej nature plus,sohna
1.1,83.61204013377927,2,2,3,0,79,11,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,super built up,high,new,godrej aria,gurgaon
0.32,65.03,2,2,1,1,95,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,super built up,high,new,ramsons kshitij,gurgaon
